id,C1,C2,C3,G1,G2,G3
0,3.0,4.0,5.0,16.0,20.0,22.0
1,3.0,2.0,1.0,15.0,13.0,10.0
2,3.0,1.0,2.0,15.0,9.0,13.0
3,1.0,0.0,4.0,11.0,7.0,18.0
4,3.0,4.0,1.0,15.0,20.0,11.0
5,4.0,1.0,3.0,20.0,11.0,16.0
6,0.0,4.0,2.0,6.0,20.0,12.0
7,4.0,2.0,1.0,18.0,14.0,10.0
8,0.0,1.0,2.0,8.0,10.0,12.0
9,4.0,2.0,3.0,19.0,13.0,17.0
10,3.0,4.0,1.0,15.0,19.0,11.0
11,5.0,2.0,0.0,22.0,13.0,7.0
12,0.0,3.0,2.0,8.0,17.0,13.0
13,5.0,0.0,1.0,23.0,6.0,11.0
14,2.0,0.0,1.0,14.0,7.0,9.0
15,3.0,0.0,1.0,17.0,6.0,11.0
16,3.0,5.0,0.0,16.0,22.0,7.0
17,5.0,4.0,1.0,21.0,18.0,11.0
18,3.0,4.0,1.0,17.0,18.0,10.0
19,2.0,3.0,4.0,12.0,16.0,20.0
20,3.0,1.0,2.0,17.0,9.0,12.0
21,3.0,0.0,1.0,15.0,8.0,11.0
22,1.0,3.0,2.0,9.0,16.0,14.0
23,3.0,1.0,0.0,17.0,11.0,6.0
24,3.0,4.0,5.0,15.0,19.0,23.0
25,1.0,0.0,3.0,10.0,8.0,15.0
26,0.0,1.0,2.0,8.0,11.0,13.0
27,1.0,4.0,3.0,9.0,18.0,15.0
28,3.0,1.0,4.0,16.0,11.0,20.0
29,3.0,1.0,0.0,15.0,11.0,6.0
30,5.0,1.0,3.0,22.0,11.0,16.0
31,0.0,4.0,3.0,8.0,20.0,17.0
32,5.0,4.0,0.0,22.0,19.0,7.0
33,1.0,4.0,3.0,10.0,18.0,15.0
34,0.0,2.0,1.0,6.0,12.0,9.0
35,0.0,3.0,4.0,8.0,17.0,19.0
36,3.0,0.0,4.0,17.0,6.0,18.0
37,1.0,3.0,2.0,9.0,15.0,12.0
38,1.0,0.0,5.0,10.0,7.0,23.0
39,5.0,4.0,3.0,22.0,20.0,17.0
40,2.0,3.0,0.0,14.0,17.0,7.0
41,4.0,3.0,2.0,19.0,17.0,12.0
42,0.0,3.0,4.0,8.0,16.0,20.0
43,2.0,4.0,5.0,13.0,19.0,21.0
44,3.0,5.0,0.0,16.0,21.0,8.0
45,1.0,0.0,4.0,9.0,6.0,18.0
46,4.0,3.0,1.0,18.0,17.0,10.0
47,0.0,4.0,2.0,6.0,20.0,13.0
48,3.0,0.0,2.0,15.0,8.0,14.0
49,1.0,5.0,4.0,11.0,21.0,20.0
50,4.0,1.0,0.0,19.0,9.0,8.0
51,2.0,0.0,4.0,14.0,8.0,19.0
52,2.0,3.0,0.0,13.0,16.0,6.0
53,2.0,5.0,1.0,12.0,21.0,10.0
54,2.0,4.0,5.0,14.0,19.0,21.0
55,5.0,1.0,4.0,22.0,11.0,19.0
56,2.0,5.0,4.0,13.0,21.0,19.0
57,5.0,2.0,3.0,21.0,12.0,16.0
58,3.0,4.0,0.0,15.0,19.0,8.0
59,2.0,4.0,0.0,13.0,20.0,7.0
60,4.0,0.0,1.0,19.0,8.0,10.0
61,3.0,2.0,1.0,16.0,13.0,9.0
62,3.0,2.0,4.0,15.0,14.0,19.0
63,1.0,0.0,2.0,9.0,6.0,14.0
64,5.0,4.0,0.0,22.0,20.0,7.0
65,4.0,2.0,1.0,18.0,12.0,11.0
66,4.0,3.0,0.0,19.0,15.0,7.0
67,0.0,1.0,2.0,7.0,10.0,14.0
68,5.0,0.0,2.0,21.0,8.0,12.0
69,2.0,1.0,5.0,13.0,9.0,23.0
70,4.0,0.0,3.0,19.0,7.0,17.0
71,1.0,2.0,0.0,9.0,14.0,7.0
72,0.0,1.0,2.0,7.0,10.0,14.0
73,3.0,2.0,4.0,17.0,12.0,18.0
74,4.0,5.0,1.0,20.0,23.0,11.0
75,5.0,1.0,0.0,21.0,10.0,6.0
76,1.0,4.0,3.0,11.0,20.0,16.0
77,0.0,2.0,1.0,8.0,12.0,10.0
78,2.0,3.0,0.0,13.0,17.0,7.0
79,0.0,2.0,1.0,8.0,14.0,9.0
80,4.0,0.0,3.0,19.0,8.0,17.0
81,4.0,5.0,1.0,20.0,21.0,10.0
82,0.0,3.0,5.0,7.0,16.0,21.0
83,4.0,3.0,1.0,18.0,17.0,11.0
84,3.0,5.0,4.0,17.0,22.0,19.0
85,3.0,1.0,0.0,16.0,9.0,7.0
86,0.0,2.0,3.0,7.0,12.0,17.0
87,4.0,1.0,2.0,18.0,9.0,13.0
88,3.0,2.0,0.0,17.0,14.0,8.0
89,1.0,0.0,2.0,9.0,7.0,12.0
90,2.0,1.0,0.0,14.0,10.0,6.0
91,5.0,2.0,3.0,21.0,14.0,16.0
92,3.0,1.0,2.0,17.0,11.0,13.0
93,5.0,0.0,3.0,22.0,6.0,16.0
94,2.0,1.0,3.0,12.0,9.0,16.0
95,4.0,5.0,3.0,19.0,23.0,15.0
96,2.0,5.0,1.0,12.0,23.0,10.0
97,5.0,3.0,4.0,23.0,17.0,20.0
98,4.0,5.0,2.0,18.0,21.0,14.0
99,0.0,1.0,2.0,6.0,9.0,13.0
